Code,Name,Marcap
005930,삼성전자,1756806721704000
000660,SK하이닉스,1609281940170000
402340,SK스퀘어,182366489452000
005935,삼성전자우,163282539810500
009150,삼성전기,127576832768000
005380,현대차,98181348797000
373220,LG에너지솔루션,77571000000000
032830,삼성생명,73700000000000
028260,삼성물산,70299646363500
207940,삼성바이오로직스,65686859469000
105560,KB금융,61006290248000
000270,기아,60123601692000
329180,HD현대중공업,58568363550000
012450,한화에어로스페이스,58215079729000
034020,두산에너빌리티,52590070086600
055550,신한지주,51594929040700
034730,SK,46474232623000
012330,현대모비스,45094093751000
068270,셀트리온,41371304297400
006400,삼성SDI,36062024675000
086790,하나금융지주,34350842049600
267260,HD현대일렉트릭,33127317065000
010120,LS ELECTRIC,31650000000000
035420,NAVER,31110824564400
000810,삼성화재,30494224059000
066570,LG전자,29612427188400
298040,효성중공업,28402573208000
042660,한화오션,27699770817600
009540,HD한국조선해양,25549094876000
005490,POSCO홀딩스,25079943295500
015760,한국전력,24490929537550
006800,미래에셋증권,23949462464000
316140,우리금융지주,22971229467100
010130,고려아연,22563679489000
000150,두산,21780708075000
042700,한미반도체,20635091300000
064350,현대로템,20376866103100
010140,삼성중공업,19976000000000
011070,LG이노텍,19691033024000
051910,LG화학,18989340267000
138040,메리츠금융지주,18876772394400
033780,KT&G,18727406262400
017670,SK텔레콤,18536381573900
079550,LIG디펜스앤에어로스페이스,18480000000000
011200,HMM,18289384238300
096770,SK이노베이션,17006710472800
024110,기업은행,16985171009700
267250,HD현대,16193582425000
018260,삼성에스디에스,15823760100000
035720,카카오,15703141651300
047810,한국항공우주,15508289523700
003550,LG,15376226806800
278470,에이피알,15162452775000
086280,현대글로비스,14700000000000
010950,S-Oil,14196690071200
030200,KT,13987203517500
003670,포스코퓨처엠,13955661918000
071050,한국금융지주,13597142048000
307950,현대오토에버,13410327198000
272210,한화시스템,13375492741200
000720,현대건설,12449574527000
005940,NH투자증권,11367385371100
259960,크래프톤,11188424502500
006260,LS,10935600000000
323410,카카오뱅크,10759065854350
003490,대한항공,10715221235100
016360,삼성증권,10492750000000
0126Z0,삼성에피스홀딩스,10314023810500
352820,하이브,10085926266000
005830,DB손해보험,9648201407700
028050,삼성E&A,9476600000000
039490,키움증권,9284823864000
443060,HD현대마린솔루션,9101192380000
003230,삼양식품,9054684030000
161390,한국타이어앤테크놀로지,8968554995600
180640,한진칼,8966174069700
047050,포스코인터내셔널,8813731678800
078930,GS,7617430590000
007660,이수페타시스,7605195088400
005387,현대차2우B,7604654775000
090430,아모레퍼시픽,7375936909900
000880,한화,7114249027100
064400,LG씨엔에스,7111428583200
047040,대우건설,7092265831880
021240,코웨이,6800749638600
326030,SK바이오팜,6656626250000
004170,신세계,6583291157000
241560,두산밥캣,6326500290000
032640,LG유플러스,6222110551120
001440,대한전선,6124768625000
267270,HD건설기계,6124418436600
062040,산일전기,6117046830000
353200,대덕전자,5890497460000
138930,BNK금융지주,5750359921490
029780,삼성카드,5688671548100
128940,한미약품,5591997571500
000100,유한양행,5575332070000
271560,오리온,5553794714000
036570,NC,5536813654000
034220,LG디스플레이,5485000000000
377300,카카오페이,5396966767500
009830,한화솔루션,5302884735600
454910,두산로보틱스,5218008390000
175330,JB금융지주,5214624276800
005385,현대차우,5076658800000
023530,롯데쇼핑,5015596261500
000990,DB하이텍,4976924867200
011790,SKC,4905271672200
088980,맥쿼리인프라,4827533689440
001040,CJ,4499093091600
000500,가온전선,4218494325000
082740,한화엔진,4155667671600
066970,엘앤에프,4113589420200
002380,KCC,4077329152000
052690,한전기술,3913728000000
069960,현대백화점,3901092580800
088350,한화생명,3860615850000
051900,LG생활건강,3826246126500
018880,한온시스템,3781777504120
010060,OCI홀딩스,3752716632000
004020,현대제철,3703120533750
111770,영원무역,3673420697200
012510,더존비즈온,3494865960000
103590,일진전기,3328440222000
336260,두산퓨얼셀,3209192574000
035250,강원랜드,3209107500000
251270,넷마블,3203641726100
383220,F&F,3171825810000
001450,현대해상,3162710075000
009420,한올바이오파마,3134438280000
022100,포스코DX,3124313680950
036460,한국가스공사,3055560300000
097950,CJ제일제당,3048472665000
031210,서울보증보험,3033748433100
139130,iM금융지주,3026167143720
302440,SK바이오사이언스,3016654462850
011780,금호석유화학,2950954222500
483650,달바글로벌,2877715282500
161890,한국콜마,2856214317000
450080,에코프로머티,2825473413000
017800,현대엘리베이터,2806833243000
001720,신영증권,2781648000000
014680,한솔케미칼,2780756997500
012750,에스원,2751140487200
004800,효성,2716968056100
028670,팬오션,2715613120960
011170,롯데케미칼,2711961564600
006360,GS건설,2695816935000
005850,에스엘,2689369308000
375500,DL이앤씨,2569256567200
026960,동서,2527395000000
085620,미래에셋생명,2510292600000
000240,한국앤컴퍼니,2496796812000
489790,한화비전,2481504368500
004990,롯데지주,2461695267200
081660,미스토홀딩스,2418333312000
003690,코리안리,2405173231910
009970,영원무역홀딩스,2392569999900
139480,이마트,2345644615000
005440,현대지에프홀딩스,2307383654800
204320,HL만도,2291507456000
279570,케이뱅크,2251608088050
004370,농심,2195833762000
030000,제일기획,2188084099500
007070,GS리테일,2186333902250
282330,BGF리테일,2182957327800
007340,DN오토모티브,2159050918500
008930,한미사이언스,2144075092500
462870,시프트업,2126219825000
192820,코스맥스,2120088281200
008770,호텔신라,2111548909800
071970,HD현대마린엔진,2103132690000
018670,SK가스,2101394388000
051600,한전KPS,2045250000000
457190,이수스페셜티케미컬,1997467439200
439260,대한조선,1942525230000
002790,아모레퍼시픽홀딩스,1903808682000
020150,롯데에너지머티리얼즈,1900866306900
281820,케이씨텍,1900671456000
103140,풍산,1886033909400
00680K,미래에셋증권2우B,1863225000000
120110,코오롱인더,1850664777600
000155,두산우,1830379596000
001740,SK네트웍스,1811362817670
009155,삼성전기우,1767446272000
073240,금호타이어,1766650765050
112610,씨에스윈드,1764873215550
000120,CJ대한통운,1754269253600
395400,SK리츠,1751922548400
011210,현대위아,1724168262200
007810,코리아써키트,1712359068000
023590,다우기술,1629767296800
097230,HJ중공업,1619898471360
069620,대웅제약,1587360775000
001800,오리온홀딩스,1585127780200
020560,아시아나항공,1577888846260
006040,동원산업,1553756828800
229640,LS에코에너지,1502150314950
475150,SK이터닉스,1478507973600
001120,LX인터내셔널,1474818000000
006280,녹십자,1457311288600
003540,대신증권,1417529174400
192080,더블유게임즈,1397448888000
415640,KB발해인프라,1383539236920
093370,후성,1363215244300
322000,HD현대에너지솔루션,1348480000000
032350,롯데관광개발,1317064566160
005070,코스모신소재,1315297011600
012630,HDC,1302369517800
007310,오뚜기,1290521260000
017960,한국카본,1284160677100
181710,NHN,1274097107100
361610,SK아이이테크놀로지,1267700050000
000815,삼성화재우,1267458930000
034230,파라다이스,1265317358120
294870,IPARK현대산업개발,1260807222900
298020,효성티앤씨,1226897847000
082640,동양생명,1217288131800
066575,LG전자우,1190664020700
030610,교보증권,1171539239080
089860,롯데렌탈,1167346824200
001430,세아베스틸지주,1163725761550
004000,롯데정밀화학,1154550000000
003570,SNT다이내믹스,1152205951050
001820,삼화콘덴서,1135134000000
300720,한일시멘트,1081114572300
077970,STX엔진,1079982894700
000080,하이트진로,1075849592740
003090,대웅,1065161073600
330590,롯데리츠,1050401893340
057050,현대홈쇼핑,1047600000000
003530,한화투자증권,1046993142000
051915,LG화학우,981859760000
185750,종근당,979997380000
280360,롯데웰푸드,970162099600
000210,DL,961875075600
003240,태광산업,960864200000
195870,해성디에스,955400000000
005300,롯데칠성,944590391200
009450,경동나비엔,944044761600
071055,한국금융지주우,937320160000
192400,쿠쿠홀딩스,933507356250
100090,SK오션플랜트,917803715010
006340,대원전선,905686504800
003470,유안타증권,892108872260
451800,한화리츠,876448000000
006120,SK디스커버리,861109986950
030190,NICE평가정보,850093334610
499790,GS피앤엘,840827658400
365550,ESR켄달스퀘어리츠,833011265000
009240,한샘,824864176400
036530,SNT홀딩스,823346243000
456040,OCI,808410298500
071320,지역난방공사,795459712800
137310,에스디바이오센서,787284145040
079160,CJ CGV,768302665440
214320,이노션,754400000000
285130,SK케미칼,743846938000
248070,솔루엠,733501060240
003850,보령,733480619850
004490,세방전지,729036000000
006650,대한유화,722150000000
005690,파미셀,721848288420
075580,세진중공업,714029167360
000670,영풍,709731829650
093050,LF,707608000000
298050,HS효성첨단소재,704695820400
064960,SNT모티브,704644221600
025540,한국단자,697935000000
00088K,한화3우B,689827877550
002350,넥센타이어,685628496540
000370,한화손해보험,680587874450
003160,디아이,679200000000
010780,아이에스동서,676188262400
114090,GKL,662474225700
090460,비에이치,659397683280
108320,LX세미콘,656264505000
002960,한국쉘석유,653900000000
069260,TKG휴켐스,643020189240
317450,명인제약,641670000000
000400,롯데손해보험,639292819200
293940,신한알파리츠,637354448210
001570,금양,633275240400
005090,SGC에너지,632569718700
005880,대한해운,622256871520
00104K,CJ4우(전환),621297264000
001680,대상,621239088250
006380,카프로,618539985360
005180,빙그레,617317464600
002020,코오롱,612469416000
007700,F&F홀딩스,610184125200
017940,E1,605738000000
033240,자화전자,597392130300
383800,LX홀딩스,595752188900
001060,JW중외제약,594955511500
001270,부국증권,593157479200
003620,KG모빌리티,592958492160
002840,미원상사,579025000000
001510,SK증권,575924761650
453340,현대그린푸드,574422374030
000640,동아쏘시오홀딩스,567552026100
079900,전진건설로봇,566190746000
336370,솔루스첨단소재,563143098880
014820,동원시스템즈,560981306700
178920,PI첨단소재,556198138680
006110,삼아알미늄,553518453000
100840,SNT에너지,539768436300
020000,한섬,537998699700
002990,금호건설,533562827680
094800,맵스리얼티,530084030010
003300,한일홀딩스,529067579040
268280,미원에스씨,527500000000
016380,KG스틸,526046798220
249420,일동제약,521398392960
001500,현대차증권,520015900040
039130,하나투어,518138225400
005810,풍산홀딩스,510372136800
448730,삼성FN리츠,509880000000
003545,대신증권우,507612090050
009410,태영건설,505605542522
284740,쿠쿠홈시스,499230592500
002240,고려제강,491130000000
005389,현대차3우B,488764920000
058650,세아홀딩스,487008692800
145990,삼양사,483185085650
001530,DI동일,482673969300
005945,NH투자증권우,479322587200
